number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.020833333333333332,2026-05-24 11:21:32.359839,2026-05-24 11:21:34.553925,0 days 00:00:02.194086,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 11:21:34.554009,2026-05-24 11:21:34.607709,0 days 00:00:00.053700,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.02,2026-05-24 11:21:34.607770,2026-05-24 11:21:34.616953,0 days 00:00:00.009183,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.009259259259259259,2026-05-24 11:21:34.617001,2026-05-24 11:21:35.712168,0 days 00:00:01.095167,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.02702702702702703,2026-05-24 11:21:35.712250,2026-05-24 11:21:35.819947,0 days 00:00:00.107697,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 11:21:35.820024,2026-05-24 11:21:35.872436,0 days 00:00:00.052412,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.021413276231263382,2026-05-24 11:21:35.872485,2026-05-24 11:21:35.890857,0 days 00:00:00.018372,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 11:21:35.890905,2026-05-24 11:21:37.119270,0 days 00:00:01.228365,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 11:21:37.119351,2026-05-24 11:21:37.231044,0 days 00:00:00.111693,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.018656716417910446,2026-05-24 11:21:37.231104,2026-05-24 11:21:37.452347,0 days 00:00:00.221243,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 11:21:37.452429,2026-05-24 11:21:37.600750,0 days 00:00:00.148321,leaky_relu,512.0,0.0015200809077270817,21.0,,,16.0,0.006536264082965736,AE,2.0,,COMPLETE
11,0.008680555555555556,2026-05-24 11:21:37.600827,2026-05-24 11:21:37.949410,0 days 00:00:00.348583,tanh,512.0,0.07649277333774439,46.0,,,11.0,0.009634050380006358,AE,2.0,,COMPLETE
12,0.0,2026-05-24 11:21:37.949487,2026-05-24 11:21:39.231557,0 days 00:00:01.282070,tanh,128.0,0.052902186617229195,45.0,,,4.0,0.002393719194281379,AE,3.0,,COMPLETE
13,0.024549918166939442,2026-05-24 11:21:39.231640,2026-05-24 11:21:39.288234,0 days 00:00:00.056594,,,0.1875143576631318,,float,1.6293600013696619,,,OCSVM,,0.0010577655864928883,COMPLETE
14,0.014716703458425313,2026-05-24 11:21:39.288299,2026-05-24 11:21:39.437334,0 days 00:00:00.149035,leaky_relu,512.0,0.19932553932270766,38.0,,,11.0,0.0016314732834695814,AE,1.0,,COMPLETE
