number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.4389312977099237,2026-05-24 11:20:40.755355,2026-05-24 11:20:42.919051,0 days 00:00:02.163696,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.6918238993710691,2026-05-24 11:20:42.919130,2026-05-24 11:20:42.977836,0 days 00:00:00.058706,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.20637898686679174,2026-05-24 11:20:42.977889,2026-05-24 11:20:42.986326,0 days 00:00:00.008437,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.11734693877551021,2026-05-24 11:20:42.986373,2026-05-24 11:20:44.081908,0 days 00:00:01.095535,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.4772727272727273,2026-05-24 11:20:44.081989,2026-05-24 11:20:44.190974,0 days 00:00:00.108985,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.9482758620689655,2026-05-24 11:20:44.191056,2026-05-24 11:20:44.248218,0 days 00:00:00.057162,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.20874751491053678,2026-05-24 11:20:44.248271,2026-05-24 11:20:44.274996,0 days 00:00:00.026725,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.8098591549295775,2026-05-24 11:20:44.275043,2026-05-24 11:20:45.455243,0 days 00:00:01.180200,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.4791666666666667,2026-05-24 11:20:45.455323,2026-05-24 11:20:45.562156,0 days 00:00:00.106833,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.38333333333333336,2026-05-24 11:20:45.562215,2026-05-24 11:20:45.773992,0 days 00:00:00.211777,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.7407407407407407,2026-05-24 11:20:45.774070,2026-05-24 11:20:45.851688,0 days 00:00:00.077618,,,0.0014512493598463222,,scale,,,,OCSVM,,0.025971706863207364,COMPLETE
11,0.8984375,2026-05-24 11:20:45.851742,2026-05-24 11:20:47.410549,0 days 00:00:01.558807,leaky_relu,256.0,0.004845690944441217,87.0,,,12.0,0.0012689081933149216,VAE,2.0,,COMPLETE
12,0.5508474576271186,2026-05-24 11:20:47.410631,2026-05-24 11:20:48.795208,0 days 00:00:01.384577,leaky_relu,256.0,0.003338564498306404,67.0,,,10.0,0.0020340426744817255,VAE,3.0,,COMPLETE
13,0.9663865546218487,2026-05-24 11:20:48.795289,2026-05-24 11:20:51.767985,0 days 00:00:02.972696,leaky_relu,128.0,0.0037801503907510738,100.0,,,5.0,0.0017892816094565885,VAE,2.0,,COMPLETE
14,0.49019607843137253,2026-05-24 11:20:51.768064,2026-05-24 11:20:52.779174,0 days 00:00:01.011110,leaky_relu,128.0,0.002091191873457795,50.0,,,4.0,0.0055798605567801,AE,2.0,,COMPLETE
