number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.044642857142857144,2026-05-24 11:19:44.383122,2026-05-24 11:19:46.554100,0 days 00:00:02.170978,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.09174311926605505,2026-05-24 11:19:46.554183,2026-05-24 11:19:46.587979,0 days 00:00:00.033796,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.033482142857142856,2026-05-24 11:19:46.588036,2026-05-24 11:19:46.596747,0 days 00:00:00.008711,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.023719165085388995,2026-05-24 11:19:46.596795,2026-05-24 11:19:47.684803,0 days 00:00:01.088008,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.08241758241758242,2026-05-24 11:19:47.684886,2026-05-24 11:19:47.791703,0 days 00:00:00.106817,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.10752688172043011,2026-05-24 11:19:47.791786,2026-05-24 11:19:47.819949,0 days 00:00:00.028163,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.036057692307692304,2026-05-24 11:19:47.819996,2026-05-24 11:19:47.831141,0 days 00:00:00.011145,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.043478260869565216,2026-05-24 11:19:47.831188,2026-05-24 11:19:49.028082,0 days 00:00:01.196894,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.07692307692307693,2026-05-24 11:19:49.028163,2026-05-24 11:19:49.135256,0 days 00:00:00.107093,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.019157088122605363,2026-05-24 11:19:49.135326,2026-05-24 11:19:49.348280,0 days 00:00:00.212954,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.05952380952380952,2026-05-24 11:19:49.348364,2026-05-24 11:19:49.407077,0 days 00:00:00.058713,,,0.0014512493598463222,,scale,,,,OCSVM,,0.025971706863207364,COMPLETE
11,0.10638297872340426,2026-05-24 11:19:49.407130,2026-05-24 11:19:49.439478,0 days 00:00:00.032348,,,0.004915963769370817,,scale,,,,OCSVM,,0.006445459956128235,COMPLETE
12,0.10204081632653061,2026-05-24 11:19:49.439526,2026-05-24 11:19:49.472635,0 days 00:00:00.033109,,,0.003409516149612066,,scale,,,,OCSVM,,0.009784585477597547,COMPLETE
13,0.0,2026-05-24 11:19:49.472684,2026-05-24 11:19:49.497314,0 days 00:00:00.024630,,,0.003338564498306404,,scale,,,,OCSVM,,0.001424283405584858,COMPLETE
14,0.05952380952380952,2026-05-24 11:19:49.497357,2026-05-24 11:19:49.534362,0 days 00:00:00.037005,,,0.0010793928799714397,,scale,,,,OCSVM,,0.01249527370988267,COMPLETE
