number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.019455252918287938,2026-05-24 10:51:50.898192,2026-05-24 10:51:53.035447,0 days 00:00:02.137255,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 10:51:53.035527,2026-05-24 10:51:53.063221,0 days 00:00:00.027694,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.01002004008016032,2026-05-24 10:51:53.063279,2026-05-24 10:51:53.073114,0 days 00:00:00.009835,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.009861932938856016,2026-05-24 10:51:53.073169,2026-05-24 10:51:54.159024,0 days 00:00:01.085855,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.023148148148148147,2026-05-24 10:51:54.159105,2026-05-24 10:51:54.264561,0 days 00:00:00.105456,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 10:51:54.264633,2026-05-24 10:51:54.290622,0 days 00:00:00.025989,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.0,2026-05-24 10:51:54.290666,2026-05-24 10:51:54.301328,0 days 00:00:00.010662,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.03787878787878788,2026-05-24 10:51:54.301390,2026-05-24 10:51:55.469891,0 days 00:00:01.168501,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.022123893805309734,2026-05-24 10:51:55.469970,2026-05-24 10:51:55.576307,0 days 00:00:00.106337,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.01838235294117647,2026-05-24 10:51:55.576370,2026-05-24 10:51:55.787192,0 days 00:00:00.210822,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 10:51:55.787271,2026-05-24 10:51:57.303736,0 days 00:00:01.516465,leaky_relu,256.0,0.001454180104792578,86.0,,,12.0,0.0014138916628611978,VAE,2.0,,COMPLETE
11,0.0,2026-05-24 10:51:57.303820,2026-05-24 10:51:57.410791,0 days 00:00:00.106971,tanh,512.0,0.003409516149612066,25.0,,,16.0,0.009634050380006358,AE,1.0,,COMPLETE
12,0.0,2026-05-24 10:51:57.410874,2026-05-24 10:51:58.238692,0 days 00:00:00.827818,relu,256.0,0.0031716673470678675,68.0,,,16.0,0.0011364695031944965,AE,2.0,,COMPLETE
13,0.0,2026-05-24 10:51:58.238773,2026-05-24 10:51:58.444692,0 days 00:00:00.205919,relu,512.0,0.005683147272039426,53.0,,,12.0,0.00963710555876194,AE,1.0,,COMPLETE
14,0.0,2026-05-24 10:51:58.444771,2026-05-24 10:51:59.925050,0 days 00:00:01.480279,tanh,128.0,0.01214134944267768,43.0,,,16.0,0.00046893084812514477,VAE,2.0,,COMPLETE
