number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.0,2026-05-24 10:53:41.225796,2026-05-24 10:53:43.359015,0 days 00:00:02.133219,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 10:53:43.359094,2026-05-24 10:53:43.390412,0 days 00:00:00.031318,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.009380863039399626,2026-05-24 10:53:43.390457,2026-05-24 10:53:43.399295,0 days 00:00:00.008838,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.018467220683287166,2026-05-24 10:53:43.399340,2026-05-24 10:53:44.487112,0 days 00:00:01.087772,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-24 10:53:44.487192,2026-05-24 10:53:44.595636,0 days 00:00:00.108444,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 10:53:44.595711,2026-05-24 10:53:44.628695,0 days 00:00:00.032984,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.00984251968503937,2026-05-24 10:53:44.628741,2026-05-24 10:53:44.638482,0 days 00:00:00.009741,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 10:53:44.638528,2026-05-24 10:53:45.800394,0 days 00:00:01.161866,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 10:53:45.800477,2026-05-24 10:53:45.906491,0 days 00:00:00.106014,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.0,2026-05-24 10:53:45.906554,2026-05-24 10:53:46.116473,0 days 00:00:00.209919,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 10:53:46.116546,2026-05-24 10:53:47.041547,0 days 00:00:00.925001,elu,256.0,0.0010322851929145003,54.0,,,12.0,0.0024015639024822476,AE,3.0,,COMPLETE
11,0.022010271460014674,2026-05-24 10:53:47.041627,2026-05-24 10:53:47.972209,0 days 00:00:00.930582,elu,256.0,0.19437908529249548,55.0,,,11.0,0.00012733062869751987,AE,3.0,,COMPLETE
12,0.017921146953405017,2026-05-24 10:53:47.972290,2026-05-24 10:53:48.925449,0 days 00:00:00.953159,elu,256.0,0.19894701223342817,57.0,,,11.0,0.00010371418747860225,AE,3.0,,COMPLETE
13,0.01095690284879474,2026-05-24 10:53:48.925530,2026-05-24 10:53:49.705472,0 days 00:00:00.779942,leaky_relu,256.0,0.1946613466663801,47.0,,,13.0,0.0004079322904791553,AE,3.0,,COMPLETE
14,0.023006134969325152,2026-05-24 10:53:49.705555,2026-05-24 10:53:50.522350,0 days 00:00:00.816795,elu,256.0,0.08719989258744304,72.0,,,8.0,0.00020601479881412525,AE,2.0,,COMPLETE
