number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_contamination,params_epochs,params_gamma_mode,params_gamma_val,params_layer_width,params_lr,params_model,params_n_layers,params_nu,state
0,0.02100840336134454,2026-05-24 10:51:20.593479,2026-05-24 10:51:22.721086,0 days 00:00:02.127607,tanh,128.0,0.02385234757844707,98.0,,,6.0,0.00010994335574766199,VAE,1.0,,COMPLETE
1,0.0,2026-05-24 10:51:22.721168,2026-05-24 10:51:22.745711,0 days 00:00:00.024543,,,0.009860942908083906,,scale,,,,OCSVM,,0.004678719265016202,COMPLETE
2,0.0,2026-05-24 10:51:22.745756,2026-05-24 10:51:22.754404,0 days 00:00:00.008648,,,0.06407866261851013,,float,0.0014234237430895472,,,OCSVM,,0.0028804169778805498,COMPLETE
3,0.015321756894790603,2026-05-24 10:51:22.754450,2026-05-24 10:51:23.843630,0 days 00:00:01.089180,elu,256.0,0.15255065745117377,60.0,,,14.0,0.00017541893487450815,AE,3.0,,COMPLETE
4,0.0,2026-05-24 10:51:23.843711,2026-05-24 10:51:23.948895,0 days 00:00:00.105184,tanh,512.0,0.01811326544803337,27.0,,,16.0,0.0069782812651260325,AE,1.0,,COMPLETE
5,0.0,2026-05-24 10:51:23.948972,2026-05-24 10:51:23.968984,0 days 00:00:00.020012,,,0.006620642015198968,,scale,,,,OCSVM,,0.004430357105538922,COMPLETE
6,0.0,2026-05-24 10:51:23.969029,2026-05-24 10:51:23.984858,0 days 00:00:00.015829,,,0.05983542473217019,,float,0.21545535601027507,,,OCSVM,,0.002865832106246123,COMPLETE
7,0.0,2026-05-24 10:51:23.984903,2026-05-24 10:51:25.152717,0 days 00:00:01.167814,relu,256.0,0.006680983417211186,79.0,,,15.0,0.0004470608546778491,VAE,1.0,,COMPLETE
8,0.0,2026-05-24 10:51:25.152803,2026-05-24 10:51:25.255598,0 days 00:00:00.102795,,,0.01956661354644642,,float,0.02578254153018897,,,OCSVM,,0.05943176207886525,COMPLETE
9,0.019455252918287938,2026-05-24 10:51:25.255651,2026-05-24 10:51:25.470278,0 days 00:00:00.214627,relu,512.0,0.029133955052801898,26.0,,,10.0,0.00028681134821030097,VAE,1.0,,COMPLETE
10,0.0,2026-05-24 10:51:25.470355,2026-05-24 10:51:28.322551,0 days 00:00:02.852196,leaky_relu,128.0,0.0015200809077270817,98.0,,,4.0,0.0024015639024822476,VAE,2.0,,COMPLETE
11,0.02506265664160401,2026-05-24 10:51:28.322633,2026-05-24 10:51:28.830026,0 days 00:00:00.507393,tanh,128.0,0.05001419780258425,22.0,,,7.0,0.0001169558442567087,VAE,1.0,,COMPLETE
12,0.015306122448979591,2026-05-24 10:51:28.830106,2026-05-24 10:51:30.430192,0 days 00:00:01.600086,tanh,128.0,0.19698826828318083,52.0,,,6.0,0.00010601970076975401,VAE,2.0,,COMPLETE
13,0.02506265664160401,2026-05-24 10:51:30.430271,2026-05-24 10:51:32.661462,0 days 00:00:02.231191,tanh,128.0,0.05409933467826836,100.0,,,8.0,0.0008186282230228687,VAE,1.0,,COMPLETE
14,0.020491803278688523,2026-05-24 10:51:32.661546,2026-05-24 10:51:34.135151,0 days 00:00:01.473605,tanh,128.0,0.06728119010418786,48.0,,,9.0,0.001061209340925545,VAE,2.0,,COMPLETE
