number,value,datetime_start,datetime_complete,duration,params_alpha,params_contamination,params_leaf_size,params_max_samples,params_model,params_n_bins,params_n_estimators,params_n_neighbors,params_tol,state
0,0.0,2026-04-28 10:45:43.542292,2026-04-28 10:45:43.566880,0 days 00:00:00.024588,,0.002285325525633921,71.0,,LOF,,,10.0,,COMPLETE
1,0.018518518518518517,2026-04-28 10:45:43.567075,2026-04-28 10:45:43.575916,0 days 00:00:00.008841,,0.0030803400529839683,,,COPOD,,,,,COMPLETE
2,0.018050541516245487,2026-04-28 10:45:43.576084,2026-04-28 10:45:43.584819,0 days 00:00:00.008735,,0.004678719265016202,,,COPOD,,,,,COMPLETE
3,0.03058103975535168,2026-04-28 10:45:43.585039,2026-04-28 10:45:43.816923,0 days 00:00:00.231884,,0.06407866261851013,,0.6599641068895281,IForest,,80.0,,,COMPLETE
4,0.03524229074889868,2026-04-28 10:45:43.817214,2026-04-28 10:45:43.822810,0 days 00:00:00.005596,0.40611470057706595,0.15255065745117377,,,HBOS,49.0,,,0.30892170379736505,COMPLETE
5,0.0,2026-04-28 10:45:43.822961,2026-04-28 10:45:43.901387,0 days 00:00:00.078426,,0.0011998556988857205,28.0,,LOF,,,92.0,,COMPLETE
6,0.04204892966360856,2026-04-28 10:45:43.901589,2026-04-28 10:45:44.356778,0 days 00:00:00.455189,,0.17023282716867383,,0.9576492590949324,IForest,,167.0,,,COMPLETE
7,0.0,2026-04-28 10:45:44.356986,2026-04-28 10:45:44.362047,0 days 00:00:00.005061,0.2004518719478462,0.0012707770074499693,,,HBOS,19.0,,,0.28064667700781154,COMPLETE
8,0.02894356005788712,2026-04-28 10:45:44.362195,2026-04-28 10:45:44.530992,0 days 00:00:00.168797,,0.07012604000905368,,0.990820855620362,IForest,,61.0,,,COMPLETE
9,0.018726591760299626,2026-04-28 10:45:44.531202,2026-04-28 10:45:44.540618,0 days 00:00:00.009416,,0.04758470274910409,,,COPOD,,,,,COMPLETE
10,0.01524390243902439,2026-04-28 10:45:44.540840,2026-04-28 10:45:44.551579,0 days 00:00:00.010739,,0.012278360049275504,,,ECOD,,,,,COMPLETE
11,0.03375527426160337,2026-04-28 10:45:44.551754,2026-04-28 10:45:44.561934,0 days 00:00:00.010180,0.4547557496884338,0.15769462903616846,,,HBOS,50.0,,,0.6708118609259582,COMPLETE
12,0.03375527426160337,2026-04-28 10:45:44.562140,2026-04-28 10:45:44.572527,0 days 00:00:00.010387,0.46475779951576934,0.17081219265120692,,,HBOS,50.0,,,0.06231997266844902,COMPLETE
13,0.02262443438914027,2026-04-28 10:45:44.572719,2026-04-28 10:45:45.091160,0 days 00:00:00.518441,,0.030029357605426847,,0.9581649616413196,IForest,,193.0,,,COMPLETE
14,0.030716723549488054,2026-04-28 10:45:45.091386,2026-04-28 10:45:45.101565,0 days 00:00:00.010179,,0.19885691691009344,,,ECOD,,,,,COMPLETE
15,0.030395136778115502,2026-04-28 10:45:45.101739,2026-04-28 10:45:45.112027,0 days 00:00:00.010288,0.022920361358845703,0.015570400469121696,,,HBOS,34.0,,,0.4483994360546658,COMPLETE
16,0.03932584269662921,2026-04-28 10:45:45.112184,2026-04-28 10:45:45.555346,0 days 00:00:00.443162,,0.09757101165124506,,0.30741954841485813,IForest,,166.0,,,COMPLETE
17,0.03636363636363636,2026-04-28 10:45:45.555599,2026-04-28 10:45:46.006751,0 days 00:00:00.451152,,0.08891263602639499,,0.30240882559760957,IForest,,167.0,,,COMPLETE
18,0.022779043280182234,2026-04-28 10:45:46.006966,2026-04-28 10:45:46.421392,0 days 00:00:00.414426,,0.02774457477577964,,0.3879404886623014,IForest,,150.0,,,COMPLETE
19,0.03436426116838488,2026-04-28 10:45:46.421596,2026-04-28 10:45:46.765941,0 days 00:00:00.344345,,0.10209845792422008,,0.6761202905790127,IForest,,124.0,,,COMPLETE
20,0.01607717041800643,2026-04-28 10:45:46.766177,2026-04-28 10:45:47.134341,0 days 00:00:00.368164,,0.008938779905507474,,0.5035525308031357,IForest,,137.0,,,COMPLETE
21,0.041237113402061855,2026-04-28 10:45:47.134544,2026-04-28 10:45:47.611693,0 days 00:00:00.477149,,0.11312320504029172,,0.3140600025643424,IForest,,180.0,,,COMPLETE
22,0.0211864406779661,2026-04-28 10:45:47.611941,2026-04-28 10:45:48.121884,0 days 00:00:00.509943,,0.03524906862326126,,0.8033246137861447,IForest,,187.0,,,COMPLETE
23,0.04184100418410042,2026-04-28 10:45:48.122090,2026-04-28 10:45:48.574788,0 days 00:00:00.452698,,0.10956751961180695,,0.4544800327639647,IForest,,167.0,,,COMPLETE
24,0.02613240418118467,2026-04-28 10:45:48.574995,2026-04-28 10:45:49.039561,0 days 00:00:00.464566,,0.05106266470918896,,0.47917298557803994,IForest,,170.0,,,COMPLETE
